,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hilo,40,US,1544331180,75,19.71,-155.08,73.04,6.93
1,Vaini,0,IN,1544331600,51,15.34,74.49,82.4,5.82
2,Warri,24,NG,1544333012,92,5.52,5.75,74.77,3.02
3,Saint-Philippe,20,CA,1544331600,84,45.36,-73.48,14.54,4.7
4,Cape Town,0,ZA,1544331600,68,-33.93,18.42,64.4,13.87
5,Albany,1,US,1544331420,73,42.65,-73.75,24.08,3.36
6,Port Alfred,88,ZA,1544333017,100,-33.59,26.89,63.29,5.93
7,Barrow,76,AR,1544333018,39,-38.31,-60.23,76.66,14.7
8,Puerto Ayora,36,EC,1544332811,100,-0.74,-90.35,71.84,8.05
9,Kutum,0,SD,1544333020,53,14.2,24.66,51.91,3.02
10,Hobart,20,AU,1544331600,59,-42.88,147.33,66.2,12.75
11,Faanui,44,PF,1544333024,100,-16.48,-151.75,80.39,12.41
12,Xichang,0,CN,1544333025,23,27.88,102.25,58.79,2.57
13,New Norfolk,20,AU,1544331600,59,-42.78,147.06,66.2,12.75
14,Rikitea,56,PF,1544333028,100,-23.12,-134.97,76.93,11.45
15,Tasiilaq,36,GL,1544331000,52,65.61,-37.64,19.4,5.82
16,Atuona,100,PF,1544332783,100,-9.8,-139.03,80.39,16.33
17,Ushuaia,75,AR,1544331600,61,-54.81,-68.31,48.2,6.93
18,Berlevag,8,NO,1544333033,100,70.86,29.09,10.28,3.62
19,Ca Mau,80,VN,1544333034,79,9.18,105.15,86.2,13.58
20,Butaritari,64,KI,1544332873,100,3.07,172.79,85.84,5.41
21,Cabedelo,20,BR,1544331600,94,-6.97,-34.84,77.0,2.24
22,East London,75,ZA,1544331600,88,-33.02,27.91,62.6,8.05
