,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Puerto Ayora,36,EC,1544335041,100,-0.74,-90.35,71.84,8.05
1,Salalah,0,OM,1544331000,54,17.01,54.1,78.8,2.24
2,Rio Bravo,0,GT,1544335167,80,14.4,-91.32,63.43,2.39
3,Busselton,0,AU,1544335168,70,-33.64,115.35,76.84,10.85
4,Dikson,92,RU,1544335169,98,73.51,80.55,17.48,29.68
5,Manokwari,64,ID,1544335170,100,-0.87,134.08,80.66,3.85
6,Nyimba,64,ZM,1544335172,83,-14.56,30.81,73.87,4.29
7,Kutum,0,SD,1544335173,53,14.2,24.66,51.91,3.02
8,Emerald,75,AU,1544331600,33,-23.53,148.16,91.4,13.87
9,Khatanga,48,RU,1544335175,65,71.98,102.47,-14.25,4.92
10,Saint-Francois,90,FR,1544333400,71,46.42,3.91,51.8,12.75
11,Winslow,75,GB,1544332800,81,51.94,-0.88,50.0,24.16
12,La Colorada,20,VE,1544331600,83,7.55,-72.32,75.2,4.7
13,Rikitea,56,PF,1544335182,100,-23.12,-134.97,76.93,11.45
14,Namibe,0,AO,1544335183,100,-15.19,12.15,69.73,2.01
15,Chuy,44,UY,1544335184,82,-33.69,-53.46,61.45,14.09
16,Castro,90,CL,1544331600,100,-42.48,-73.76,53.6,13.87
17,Lebu,40,ET,1544331600,67,8.96,38.73,57.2,2.24
18,Bambous Virieux,75,MU,1544331600,78,-20.34,57.76,80.6,13.87
19,Chau Doc,12,VN,1544335189,69,10.71,105.12,89.17,5.86
20,Hithadhoo,64,MV,1544335191,100,-0.6,73.08,80.89,5.75
21,Potenza,0,IT,1544335192,74,40.64,15.8,28.87,3.02
22,Punta Arenas,75,CL,1544331600,70,-53.16,-70.91,48.2,6.93
23,Carnarvon,0,ZA,1544335195,69,-30.97,22.13,54.74,14.81
24,Dunedin,76,NZ,1544334934,89,-45.87,170.5,63.79,3.91
25,Tasiilaq,36,GL,1544331000,52,65.61,-37.64,19.4,5.82
26,Nchelenge,80,ZM,1544335198,83,-9.35,28.74,72.52,5.86
27,Egvekinot,24,RU,1544335201,72,66.32,-179.17,-7.23,8.88
28,Peniche,40,PT,1544331600,100,39.36,-9.38,48.2,2.24
29,Qaanaaq,36,GL,1544335206,96,77.48,-69.36,-5.56,8.43
